Years,Total_Population,Total_Revenue_Receipts,Net_Tax_Revenues,NonTax_Revenues,Recovery_of_Loans,PSU_investment,Total_Expenditure,Interest,Defence,Subsidies,Plan_Expenditure,Other_Capital_Expenditure,Fiscal_Deficit,GDP_Growth_Percentage,GDP_in_Billion,PerCap_Income
1991,888054875,10.67,7.56,2.11,1,0,18.52,3.8,2.71,2.14,4.99,4.9,7.85,5.48239602167047,288.21,317
1992,906021106,11.5,7.67,2.44,0.92,0.47,17.06,4.1,2.5,1.88,4.74,3.9,5.56,4.75077621965234,279.3,301
1993,924057817,11.02,7.22,2.68,0.85,0.26,16.38,4.2,2.35,1.45,4.9,3.5,5.37,6.65892406734025,327.28,346
1994,942204249,9.5,6.22,2.56,0.72,-0.01,16.51,4.3,2.54,1.35,5.08,3.3,7.01,7.57449184032379,360.28,374
1995,960482795,10.12,6.66,2.33,0.63,0.5,15.87,4.4,2.3,1.17,4.68,3.4,5.75,7.5495222488198,392.9,400
1996,978893217,9.85,6.9,2.37,0.55,0.03,15.01,4.2,2.26,1.07,3.9,3.6,5.16,4.0498208490926,415.87,415
1997,997405318,9.81,8.18,2.38,0.55,0.03,14.69,4.3,2.16,1.13,3.91,3.1,4.88,6.18441582090618,421.35,413
1998,1015974042,9.4,8.81,2.51,0.55,0.06,15.24,4.3,2.32,1.22,3.88,3.5,5.84,8.84575556105509,458.82,442
1999,1034539214,9.53,7.87,2.58,0.61,0.34,16.04,4.5,2.29,1.36,3.84,4.1,6.51,3.84099115681285,468.39,443
2000,1053050912,9.9,7.05,2.7,0.5,0.1,15.3,4.6,2.4,1.3,3.9,3.1,5.4,4.82396626390641,485.44,452
2001,1071477855,9.8,7.31,2.7,0.6,0.1,15.5,4.7,2.4,1.3,3.9,3.2,5.7,3.8039753213758,514.94,471
2002,1089807112,9.7,7.02,3,0.7,0.2,15.9,4.7,2.4,1.4,4.4,3,6.2,7.86038147553259,607.7,547
2003,1108027848,10.9,7.59,2.9,1.4,0.1,16.8,4.8,2.3,1.8,4.5,3.5,5.9,7.92293661286503,709.15,628
2004,1126135777,12.6,7.4,2.8,2.4,0.6,17.1,4.5,2.2,1.6,4.4,4.4,4.5,7.92343062149763,820.38,715
2005,1144118674,9.44,7.77,2.5,1.91,0.14,15.37,3.92,2.34,1.42,4.08,3.7,3.88,8.06073257303272,940.26,807
2006,1161977719,9.4,7.28,2.08,0.29,0.04,13.7,3.59,2.18,1.29,3.81,2.92,3.97,7.66081506504928,1216.74,1028
2007,1179681239,10.11,8.18,1.94,0.14,0.01,13.58,3.5,1.2,1.25,3.96,1.6,3.32,3.08669805953289,1198.9,999
2008,1197146906,10.87,8.81,2.05,0.1,0.78,14.29,3.43,1.09,1.35,4.11,2.37,2.54,7.86188883303498,1341.89,1102
2009,1214270132,9.6,7.94,1.72,0.11,0.01,15.7,3.41,1.3,2.2,4.89,1.6,5.99,8.49758470158106,1675.62,1358
2010,1230980691,8.84,7.07,1.79,0.13,0.38,15.82,3.29,1.4,2.09,4.68,1.74,6.46,5.24131500140663,1823.05,1458
2011,1247236029,10.11,7.7,2.8,0.07,0.51,14.22,3.19,1.12,1.4,4.79,1.92,4.89,5.45638875297365,1827.64,1444
2012,1263065852,8.37,7.02,1.36,0.21,0.2,14.53,3.04,1.9,2.43,4.59,1.77,5.75,6.38610640094825,1856.72,1450
2013,1278562207,8.77,7.4,1.37,0.15,0.26,14.06,3.08,1.11,2.56,4.12,1.66,4.89,7.41022760508854,2039.13,1574
2014,1293859294,9.29,7.59,1.51,0.09,0.49,14.64,3.26,1.03,2.03,4.88,2.01,4.77,7.99625378571471,2103.59,1606
2015,1309053980,9.06,7.36,1.7,0.1,0.23,14.01,3.79,1.1,2.25,4.19,1.68,4.62,8.25630550179086,2294.8,1733
2016,1324171354,9.24,7.59,1.65,0.08,0.49,13.94,3.33,1.04,2.02,4.47,1.76,4.13,6.79538341897911,2651.47,1981
